Pc,HPFTP_w,HPOTP_w,LPFTP_w,LPOTP_w,PBOBP_w,Pc_FPB,Pc_OPB,MFV_m,MOV_m,OPOV_m,FPOV_m,T_Nozzle_Cooling_exit,HGM_Temp,Man_OX_Temp,Man_H2_Temp,Man_MCC_COOL_Pres,HPFTP_p_pump_out,HPOTP_p_pump_out,LPFTP_p_pump_out,LPOTP_p_pump_out,PBOBP_p_pump_out,HPFTP_T_turb_inlet,HPOTP_T_turb_inlet,LPFTP_T_turb_inlet,LPOTP_T_turb_inlet
193.35,44162,27261,29079,4136.5,27261,374.65,347.09,74.596,376.09,12.155,32.343,234.4,670.26,109.49,61.832,218.57,412.257,295.703,34.2019,19.1133,547.933,927.744,618.438,409.507,106.246
194.67,44311,27397,29157,4153.7,27397,376.57,350.35,74.302,380.65,12.334,32.676,236.16,679.79,108.81,62.507,220.06,414.725,298.371,34.2859,19.1477,553.431,946.939,623.825,411.068,105.62
194.84,44453,27375,29176,4151,27375,376.82,350.16,74.449,380.71,12.28,32.803,235.66,679.54,108.37,62.932,219.7,414.998,298.555,34.1334,19.1665,553.511,949.863,617.336,413.161,105.244
195.14,44379,27351,29243,4144.2,27351,377.01,350.6,74.511,381.51,12.289,32.795,236.16,679.13,108.05,62.677,220.26,414.355,297.814,34.4013,19.0832,552.595,952.26,618.039,408.299,104.97
194.27,44286,27309,29171,4138.6,27309,375.22,348.64,74.572,378.88,12.17,32.568,235.15,673.92,109.11,62.338,219,412.743,295.971,34.2699,19.027,549.166,943.477,611.151,409.773,105.914
194.08,44349,27274,29134,4128.1,27274,374.86,348.3,73.889,380.18,12.162,32.539,236.05,679.66,108.73,63.101,219.05,412.022,294.66,33.9422,18.8819,547.607,948.776,615.711,416.313,105.594
195.57,44489,27393,29037,4156.6,27393,378.99,352.01,74.37,383.05,12.424,32.925,235.02,683.53,106.69,62.944,220.94,416.966,301.381,33.8171,19.3284,558.519,945.066,627.74,420.44,103.746
195.12,44390,27410,29163,4151.3,27410,377.2,351.27,74.053,382.66,12.364,32.796,236.64,684.15,108.37,62.964,220.58,415.247,298.223,34.1744,19.0624,553.757,955.029,624.545,414.06,105.237
195.5,44513,27386,29231,4155.6,27386,378.47,351.99,74.728,381.8,12.335,33.032,235.53,680.82,107.28,62.92,220.76,416.06,300.594,34.2807,19.2999,556.631,957.208,615.67,409.733,104.277
193.32,44323,27286,29235,4130.7,27286,373.38,346.32,73.981,377.65,12.113,32.373,235.9,676.06,110.29,63.067,217.97,410.586,293.31,34.1753,18.8454,544.871,942.606,618.304,410.234,106.965
193.84,44136,27286,29270,4129.3,27286,373.42,347.51,73.996,379.31,12.168,32.323,236.47,675.96,109.54,62.362,218.8,410.664,293.882,34.5864,18.8436,546.505,946.44,619.331,405.014,106.306
193.09,44257,27176,29137,4117.1,27176,373.6,346.51,74.092,376.7,12.018,32.417,235.6,674.18,109.02,62.636,218.23,411.501,293.289,34.094,18.9086,544.2,945.398,607.205,411.465,105.87
194.15,44391,27285,29182,4137.4,27285,375.87,349.18,74.036,379.83,12.223,32.667,236.63,680.74,107.82,63.108,219.64,413.147,297.466,34.0902,19.1317,551.553,951.477,619.253,412.498,104.778
195.07,44395,27335,29151,4141,27335,376.93,350.37,74.303,381.94,12.288,32.74,235.87,680.21,107.74,62.874,220.13,413.852,297.699,34.0753,19.0662,552.683,948.171,619.805,414.6,104.701
193.93,44218,27293,29161,4135.8,27293,374.54,348.74,73.924,379.66,12.205,32.459,235.88,678.71,108.57,62.621,219.33,411.542,296.193,34.205,19.0293,549.992,948.974,617.83,411.426,105.444
